Name,Type,Part,Step
Q84BZ0,gene,Q84BZ0,1
O85675,gene,O85675,1
Q84BZ1,gene,Q84BZ1,1
O85673,gene,O85673,1
Q84BZ2,gene,Q84BZ2,1
P95607,gene,P95607,2
P81422,gene,P81422,2
P83715,gene,P83715,2
O33950,gene,O33950,2
P86029,gene,P86029,2
O33948,gene,O33948,2
